Dizi Adı,Senarist,Yönetmen,Başrol,Ülke,Kanal,Durumu,Konu,Sezon Sayısı,Bölüm Sayısı,Yapımcı,Yayın tarihi,Platform,Tema Müziği Bestecisi
"Kurtlar Vadisi Terör, Link",Raci ŞaşmazBahadır ÖzdenerCüneyt Aysan,Sadullah Şentürk,Necati ŞaşmazGürkan UygunSönmez AtasoyKenan Çoban,Türkiye,Show TV (2007),Yayından kaldırıldı,"Kurtlar Vadisi Terör, Pana Film imzalı, ilk bölümü 8 Şubat 2007 tarihinde yayımlanan, daha sonra yayından kaldırılan terör, aksiyon ve politik konulu Türk televizyon dizisidir.",1,2 (Yayından kaldırıldıktan sonra yayımlanan bölüm ile),Raci Şaşmaz,8 Şubat 2007 - 18 Ekim 2007,,Gökhan Kırdar
"Kuzey Rüzgârı, Link",Baykut BademFiliz EkinciArzu Birol,Mustafa Şevki Doğan,Kadir İnanırOktay KaynarcaEbru KocaağaÇağla KubatSelçuk Yöntem[1],Türkiye,Show TV,Sona erdi,"Kuzey Rüzgârı, Duka Film imzalı, 2007-2008 yılları arasında Show TV'de yayımlanan aksiyon, aşk ve mafya türündeki Türk televizyon dizisidir. Başrollerini Kadir İnanır, Selçuk Yöntem ,Oktay Kaynarca ,Ebru Kocaağa ve Çağla Kubat'ın paylaştığı dizinin yönetmenliğini Mustafa Şevki Doğan yapmıştır.[2][3] Dizi, 20. bölümü ile final yaparak sona erdi.",1,20,İbrahim Mertoğlu,3 Eylül 2007 - 30 Ocak 2008,,
"Mahşer-Nabucco'nun Zehri, Link",,Koray Demir,Mahir Günşirayİpek TuzcuoğluAhmet Uzİstemi BetilAli BaşarNesligül Deniz Çaltıl,Türkiye,atv,Sona erdi,"Mahşer-Nabucco'nun Zehri, 2007-2008 yılları arasında atv'de yayınlanan ve Türkiye'nin ilk gerçek zamanlı televizyon dizisidir.[1] Başrollerini Mahir Günşiray, İpek Tuzcuoğlu, Ahmet Uz, İstemi Betil, Ali Başar, Nesligül Deniz Çaltıl ve Şahnaz Çakıralp'in paylaştıkları dizidir. Dizi, 4. bölümü ile sona erdi.",1,4,Doludizgin Prodüksiyon,11 Aralık 2007 - 11 Ocak 2008,,
"Menekşe ile Halil, Link",Elif ŞafakEce YörençMelek Gençoğlu,Uluç Bayraktar,Kıvanç TatlıtuğSedef Avcı,Türkiye,Kanal D (HD),Sona erdi,"Menekşe ile Halil, Ay Yapım imzalı, 2007-2008 yılları arasında Kanal D'de yayımlanan aşk ve dram türündeki Türk televizyon dizisidir. Dizi, 36. bölümü ile final yaparak sona erdi.",1,36 (bölümleri listesi),Kerem Çatay,7 Eylül 2007 - 24 Mayıs 2008,,Toygar Işıklı
"Parmaklıklar Ardında, Link",,Hakan Gürtop(1. sezon)  Nisan Akman (2 ve 3. sezon),Selda Alkor  Serra Yılmaz Yelda ReynaudÖzlem DüvencioğluZeynep Eronat Sinan Albayrak  Cengiz Bozkurt Başak Daşman  Pınar Dikici Özgül Kavruk Zehra Alptürk Ogün Kaptanoğlu  İsmail Düvenci Onuryay Evrentan Müfide İnselel Zeynep Kızıltan Nurhan Özenen Meltem Pamirtan  Iraz Yöntem  Pınar Ünsal  Beste Bereket  Neriman Uğur Dilşad Bozyiğit  Mine Çayıroğlu  Fikret Kuşkan  Rüçhan Çalışkur  Zeynep Gülmez  Tardu Flordun,Türkiye,atv,Sona erdi,,3,106 (bölümleri listesi),Ayşe Durukan  Uğur Başaran,13 Aralık 2007 - 24 Haziran 2010,,Kerem Güney
"Sevgili Dünürüm, Link",,Hakan Algül,Engin Altan DüzyatanRojda DemirerHaluk BilginerSumru Yavrucuk,Türkiye,Star TV,Sona erdi,"Sevgili Dünürüm, Gold Film imzalı, 19 Ekim 2007 tarihinde Star TV'de yayımlanmaya başlayan, yönetmenliğini Hakan Algül'ün üstlendiği, başrollerini Engin Altan Düzyatan, Rojda Demirer, Haluk Bilginer ve Sumru Yavrucuk'un paylaştığı durum komedisi türündeki Türk televizyon dizisidir. Dizi, Mayıs 2008'de yayımlanan 21. bölümü ile sona erdi.",1,21,Faruk Turgut,19 Ekim 2007 - Mayıs 2008,,
"Sır Gibi, Link",Neslihan Eyüboğlu,Şengül Halat,İsmet ÜstekinKaya ErdaşTuğçe ErsoyMurat ÜnalmışEce ÖzdikiciGülenay KalkanAyşegül UygurerAylin KontenteHikmet KaragözBurak DavutoğluFeyza IşıkSezin AkbaşoğullarıErdoğan Tutkun,Türkiye,Star TV (2007),Sona erdi,"Sır Gibi, 2007 yılında Star TV'de yayımlanmış olan aile, dram ve aşk türündeki Türk yapımı televizyon dizisidir.[1] Dizi, 5. bölümü ile ekranlara veda etti.",1,5,,4 Ekim 2007 - 1 Kasım 2007,,
"Tatlı Bela Fadime, Link",Suna Dölek,Cankat Ergin,Nehir ErdoğanBerk OktayCezmi BaskınFüsun Demirel,Türkiye,Star TV,Sona erdi,"Tatlı Bela Fadime, Erler Film imzalı, 11 Ekim 2007 tarihinde Star TV'de yayımlanmaya başlayan,[2][3] başrollerini Nehir Erdoğan, Berk Oktay, Cezmi Baskın ve Füsun Demirel'in  paylaştığı romantik komedi türündeki Türk televizyon dizisidir. Dizinin yapımcılığını Türker İnanoğlu üstlenmiş, yönetmenliğini ise Cankat Ergin yapmıştır. Dizi,  21 Haziran 2008 tarihinde yayımlanan 36. bölümü ile final yaparak sona erdi.",1,36,Türker İnanoğlu,11 Ekim 2007 - 21 Haziran 2008[1],,
"Tek Türkiye, Link",Ali KaraSamim Utku,Naci Çelik BerksoyGürsel Ateş,,Türkiye,Samanyolu TV,Sona erdi,"Tek Türkiye, 2007-2011 yılları arasında Samanyolu TV'de yayımlanan aksiyon ve dram türündeki Türk televizyon dizisi. 4 sezondan oluşan dizi, 149. bölümüyle final yaparak sona erdi.",4,149 (bölümleri listesi),Salih Asan,18 Ekim 2007 - 30 Haziran 2011,,
"Vazgeç Gönlüm, Link",,,Murat Hanİrem AltuğBulut Aras,Türkiye,Star TV,Sona erdi,"Vazgeç Gönlüm, Gold Film imzalı, 2007-2008 yılları arasında Star TV'de yayımlanan dram ve aksiyon türündeki Türk televizyon dizisidir. 2 sezondan oluşan dizi, 47. bölümü ile final yaparak sona erdi.",2,47,Faruk Turgut,2007 - 18 Ekim 2008,,
"Yeni Evli, Link",,,,Türkiye,TRT 1 (2007-2008),Sona erdi,"Yeni Evli, Tunga Film imzalı, 2007-2008 yılları arasında TRT 1'de yayınlanan Türk yapımı drama türündeki televizyon dizisi.[1] Günlük olarak yayımlanan dizi, 175. bölümü ile ekranlara veda etti.",1,175,,Temmuz 2007 - Nisan 2008,,
"Yersiz Yurtsuz, Link",Ali Ulvi Hünkar (1-14)Neşe Cehiz (15-18)Ayşe Teker (15-18)Nur Kıymaç (15-18),Cemal Şan (1-3)Cevdet Mercan (4-7)Şafak Bal (8-18),Ferdi TayfurŞerif SezerNesrin CavadzadeSinan Albayrak,Türkiye,atv,Sona erdi,"Yersiz Yurtsuz, yapımcılığını Avşar Film'in üstlendiği, 2007 yapımı atv'de yayımlanan dram türündeki Türk televizyon dizisidir. 2 sezondan oluşan dizi, 18. bölümü ile sona erdi.[10]",2,18,Şükrü Avşar (1-14)Semra Avşar (15-18)Uğur Atukman (15-18),29 Mart 2007 (2007-03-29)[1][2][3][4][5][6][3][4] - 25 Eylül 2007 (2007-09-25)[7][8][9],,
"Zeliha'nın Gözleri, Link",Mehmet AltıoklarEmine AltıoklarMeriç AcemiÖmer Genç,Filiz KaynakÖmer Uğur,Sarp LevendoğluEmel Çölgeçen,Türkiye,Star TV,Sona erdi,"Zeliha'nın Gözleri, 2007 yılında Star TV'de yayımlanan, başrollerini Sarp Levendoğlu ve Emel Çölgeçen'in paylaştığı Türk televizyon dizisidir. Makbule Kosif'in kaleme aldığı dizinin yapımcılığını Mustafa Altıoklar üstlenirken yönetmen koltuğunda ise Filiz Kaynak oturmuştur. Dizi, 9. bölümü ile ekranlara veda etti.",1,9,Mehmet AltıoklarEmine Altıoklar,30 Temmuz 2007 - 24 Eylül 2007,,
"Acemi Cadı, Link",,Feride Kaytan,Merve BoluğurŞenay GürlerNergis Kumbasar Çağkan Çulha,Türkiye,Kanal D (2006-2007)Star TV (2007),Sona erdi,"Acemi Cadı, D Productions imzalı, 7 Temmuz 2006 tarihinde Kanal D'de yayımlanmaya başlayan fantastik ve komedi türündeki Türk televizyon dizisidir. Dizi, ikinci sezonundan itibaren ise Star TV'de yayınlanmaya devam etti. Cadı olduğunu yeni öğrenen Ayşegül'ün halaları ve arkadaşlarıyla birlikte geçirdiği yaşantısını, hoşlandığı çocuk olan Selim'i Tuğçe'ye kaptırmama çabasını, yaptığı sihirlerle başına açtığı belaları konu alır. 2 sezondan oluşan dizi, 21 Eylül 2007 tarihinde yayımlanan 58. bölümüyle sona erdi.",2,58,D Productions,7 Temmuz 2006 - 21 Eylül 2007,,
"Adak, Link",Gamze Özer,Adnan Güler,EmrahHande Subaşı,Türkiye,Show TV,Sona erdi,"Adak, Gold Film imzalı, başrollerini Emrah ve Hande Subaşı’nın paylaştığı 2006 yapımı Show TV'de yayımlanan drama türündeki Türk televizyon dizisidir. Dizi, 10. bölümü ile ekranlara veda etti.",1,10,Faruk Turgut,Eylül 2006 - Kasım 2006,,Emrah
"Arka Sokaklar, Link",Ahmet YurdakulOzan YurdakulSinan YurdakulBarkın ŞenürenMetin Arslan,Orhan Oğuz,Zafer ErginÖzgür Ozanİlker İnanoğluOzan ÇobanoğluÖzlem ÇınarEski başrollerOya OkarŞevket ÇoruhAlp KorkmazUğur PektaşGamze ÖzçelikCan NergisMüge BozBerk OktayÇağla KubatGülcan ArslanZeynep BeşerlerBeril Kayar,Türkiye,Kanal D,Devam ediyor,"Arka Sokaklar, Erler Film (2006-2022) ve D Media (2023-günümüz) imzalı, ilk bölümü 31 Temmuz 2006 tarihinde yayımlanan, yönetmenliğini Orhan Oğuz'un yaptığı, senaryosunu Ahmet Yurdakul, Ozan Yurdakul, Sinan Yurdakul, Barkın Şenüren ve Metin Arslan'ın yazdığı polisiye, aksiyon, dram ve komedi türündeki Türk yapımı televizyon dizisi. 18 yıldır (18 sezon) kesintisiz yayımlanan Arka Sokaklar; yayın yılı, sezon sayısı ve bölüm sayısı bakımından Türk televizyon tarihinin en uzun süren haftalık dizisidir.[1]",18,657 (bölümleri listesi),Türker İnanoğlu(2006-2022)Ali Cengiz Deveci(2023-günümüz),31 Temmuz 2006 - günümüz,,Murat Evgin  Jingle TV(2023-günümüz)
"Binbir Gece, Link",Yıldız Tunç Murat Lütfü Mehmet Bilal Ethem Yekta,Kudret Sabancı,Halit Ergenç Bergüzar KorelTardu FlordunCeyda DüvenciTomris İncerMetin Çekmez,Türkiye,Kanal D,Sona erdi,"Binbir Gece, TMC imzalı, ilk bölümü 7 Kasım 2006 tarihinde yayımlanan, yönetmenliğini Kudret Sabancı'nın yaptığı, Kanal D'de yayımlanan, dram türündeki Türk yapımı televizyon dizisi. 3 sezondan oluşan dizi, 12 Mayıs 2009 tarihinde yayımlanan 90. bölümü ile final yaparak sona ermiştir.",3,90 (bölümleri listesi),Erol Avcı,7 Kasım 2006 - 12 Mayıs 2009,,
"Doktorlar, Link",Ebru HacıoğluZehra GülerayTuğba FedaioğluTuğba DoğanTolga KüçükAyşe TekerMakbule Kosif,Merve GirginOğuzhan TercanŞenol Sönmez,Kutsi Bekir Aksoy Yasemin Özilhan Leyla Göksun Melike Güner  Yeşim Ceren Bozoğlu,Türkiye,Show TV,Sona erdi,"Doktorlar, Medyapım imzalı, başrollerini Kutsi, Yasemin Özilhan, Leyla Göksun, Bekir Aksoy, Melike Güner ve Yeşim Ceren Bozoğlu'nun paylaştığı, 2006-2011 yılları arasında Show TV'de yayımlanan medikal ve dram türündeki Türk televizyon dizisidir. Dizi, 28 Aralık 2006 tarihinde Show TV'de yayımlanmaya başladı. ABD yapımı Grey's Anatomy dizisinden uyarlananan dizide doktorların yaşantıları ve aşkları konu edilmektedir. 30 Mart 2009 tarihinde yayımlanan 87. bölümde final yapmıştır. Dizi,  tekrarlarına olan ilgiden dolayı 3 Aralık 2010 tarihinde Show TV'de yeniden yayımlanmaya başlamıştır. Bu kez başrolde Yasemin Özilhan yerine Leyla Göksun yer almıştır. Dizi, düşük izlenme oranlarından dolayı 14 Şubat 2011 tarihinde yayımlanan 97. bölümü ile ikinci kez final yaparak ekranlara veda etmiştir. Toplam 4 sezondan oluşmaktadır.",4,97,Fatih Aksoy,28 Aralık 2006 - 14 Şubat 2011,,
"Fırtına, Link",Gökhan Horzum,Metin Balekoğlu,Burçin Terzioğlu  Murat Yıldırım  Zerrin Sümer  Jale Aylanç  Salih Kalyon  Münir Canar  Erkan Can  Ayşen Gruda  Orhan Eşkin  Ömür Arpacı  Deniz Erözen  Cezmi Baskın  Nihan Büyükağaç  Türkü Hazer  Emirşah Bora  Fırat Can Aydın,Türkiye,Kanal D,Sona erdi,"Fırtına, BKM imzalı, 2006-2007 yılları arasında Kanal D'de  yayımlanan, iki Karadenizli ailenin yaşantısını anlatan komedi ve aile türündeki Türk televizyon dizisidir. Trabzon ilinin Sürmene ilçesinin Aksu köyünde çekilmiştir. Başrollerini Murat Yıldırım ve Burçin Terzioğlu paylaşmıştır. Dizide Ali ve Zeynep adında birbirine aşık iki gencin ve onların ailelerinin maceraları anlatılmıştır. Dizi, 48. bölümü ile final yaparak sona erdi. Tekrarları ise Kanal 7'de yayımlandı.",1,48,Necati Akpınar,3 Temmuz 2006 - 16 Haziran 2007,,
"Gönül, Link",Gani MüjdeEmre BülbülNilüfer YenidoğanFatih Solmaz,Faruk Teber,Gülben ErgenRagıp SavaşGüven KıraçŞevket Çoruh,Türkiye,Kanal D,Sona erdi,"Gönül, 2006 yılında Kanal D'de yayımlanan komedi ve drama türündeki Türk televizyon dizisidir. Başrollerini Gülben Ergen, Ragıp Savaş, Güven Kıraç ve Şevket Çoruh'un paylaştığı dizi 7. bölümü ile sona erdi.",1,7,Ali Gündoğdu,13 Şubat 2006 - 3 Nisan 2006,,
"Hatırla Sevgili, Link",,Ümmü Burhan,Cansel ElçinBeren SaatOkan Yalabık,Türkiye,atv,Sona erdi,"Hatırla Sevgili, Sis Yapım imzalı, 2006-2008 yılları arasında atv'de yayımlanan dram, romantik ve tarihî türdeki Türk televizyon dizisidir. 2 sezondan oluşan dizi, 68. bölümü ile final yaparak sona erdi.",2,68,Ilgaz Giritlioğlu,7 Kasım 2006 - 6 Haziran 2008,,
"Hayat Türküsü, Link",,Hakan Gürtop,Burak DavutoğluDevin Özgür ÇınarSermin HürmeriçAslı YılmazTolga EvrenBetül ArımMelih GörgünHaldun BoysanUğur ÇavuşoğluJale Aylançİpek AtagünCanan GüvenÖzlem Başkaya,Türkiye,TRT 1,Sona erdi,"Hayat Türküsü, Koliba Film imzalı, 2006-2007 yılları arasında TRT 1'de yayımlanan dram türündeki Türk televizyon dizisidir. 2 sezondan oluşan dizi, 61. bölümü ile sona erdi.",2,60,Ata Türkoğlu,21 Ocak 2006 (2006-01-21) - 16 Haziran 2007 (2007-06-16),,Erkin Hamidoğlu
"İki Aile, Link",Saygın DelibaşFethi Kantarcı,Nursan Esenboğa(1-24)Metin Günay (25-52)Yıldız Hülya Bilban (53-93),Emre Kınayİclal Aydın,Türkiye,Star TV (2006-2008),Sona erdi,"İki Aile, D Productions imzalı, 2006-2008 yılları arasında Star TV'de yayımlanan komedi ve aile türündeki Türk televizyon dizisidir. 2 sezondan oluşan dizi, 93. bölümü ile final yaparak sona erdi.",2,93,Serkan KızıldağYıldız Hülya BilbanÜmit Özer,19 Haziran 2006 - 16 Haziran 2008,,
"Kadın Severse, Link",Yelda Açıkgöz Nur Özlem Açıkgöz Birol Güven Murat Aras,Bora Tekay,Hülya Avşar Cihan Ünal Deniz Çakır Zerrin Sümer Derya Baykal Kazım Akşar Burçin Terzioğlu Vildan Atasever Oğuz Oktay Cahit Kaşıkçılar Elif Tayhan,Türkiye,Star TV (2004-2005)  Show TV (2005-2006),Sona erdi,"Kadın İsterse, 2004-2006 yılları arasında yayımlanan, başrollerini Hülya Avşar ve Cihan Ünal'ın paylaştıkları dram ve komedi türündeki Türk yapımı televizyon dizisidir. Ay Yapım, Mint ve İmaj TV ortaklığında çekilmiştir. 2 sezondan oluşan dizi, 52. bölümü ile sona erdi.",2,52,Birol Güven (2004-2006) Kerem Çatay (2004-2006),12 Aralık 2004 (2004-12-12)[1][2] - 25 Nisan 2006 (2006-04-25)[3][4],,
"Kaybolan Yıllar, Link",Sergin AkyazSeçil Akyaz ÇolakMakbule KosifZehra Güleray,Zeynep Günay Gülçin Gülbahçe,Yeşim Büber Saruhan HünelBurak Hakkı,Türkiye,Star TV (2006-2007),Sona erdi,"Kaybolan Yıllar, Base Productions imzalı, yönetmenliğini Gülçin Gülbahçe'nin yaptığı, başrollerini Yeşim Büber, Saruhan Hünel ve Burak Hakkı'nın paylaştıkları, 2006-2007 yılları arasında Star TV'de yayımlanan Türk televizyon dizisidir. 2 sezondan oluşan dizi, 49. bölümü ile ekranlara veda etti.",2,49,Sergin Akyaz,15 Nisan 2006 - 21 Haziran 2007,,
"Kınalı Kuzular, Link",Erkan Akın,Tunç Davut,,Türkiye,TRT 1,Sona erdi,"Kınalı Kuzular, 28 Kasım 2006 ile 20 Şubat 2007 tarihleri arasında TRT 1'de yayımlanmış, Tunç Davut'un yönetmenliğini, Erkan Akın'ın senaryosunu ve Ahmet Yenilmez'in de yapımcılığını üstlendiği tarihî türdeki Türk televizyon dizisidir. Dizi, 13. bölümü ile sona erdi.",1,13,Ahmet Yenilmez,28 Kasım 2006 - 20 Şubat 2007,,
"Kırık Kanatlar, Link",Gül DiricanNeşe CehizFiliz TerziAyhan SonyürekBaykut BademFiliz Ekinci,Çağatay TosunFaruk TeberTemel GürsuHaluk BenerCevdet Mercan,Mehmet Ali NuroğluÖzge ÖzberkCansel ElçinBegüm BirgörenŞemsi İnkayaSaygın SoysalTürkü HazerSermiyan MidyatTolga TecerTanju GürsuCengiz SeziciBeyazıt GülercanŞebnem Doğruer,Türkiye,Kanal D,Sona erdi,"Kırık Kanatlar, Avşar Film imzalı, 2006-2007 yılları arasında Kanal D'de yayımlanan, Ege'nin bir kasabasındaki Türk Kurtuluş Savaşı yıllarını ve Cumhuriyet'in ilan edilişini konu alan dram türündeki Türk televizyon dizisidir. 2 sezondan oluşan dizi, 36. bölümü ile final yaparak sona erdi.",2,36,Şükrü Avşar,19 Ocak 2006 - 7 Şubat 2007,,
"Kod Adı, Link",,,Gerçek SağlarÖzgür ÖzberkKorel CezayirliOnur SaylakNuri Gökaşan,Türkiye,Kanal D,Sona erdi,"Kod Adı, başrollerini Gerçek Sağlar, Özgür Özberk, Korel Cezayirli, Nuri Gökaşan, Deniz Baytaş, Tomris Çetinel, Levent İnanır, Serap Sağlar, Kemal Başar, Ayşen Gürler, İlhan Kantarci, Selçuk Sazak, Onur Saylak, Lale Başar, Mehmet Ege, Mithat Erdemli, Tayfun Erarslan, Aslı Nihan Elmas Servet Pandur ve Oktay Dal'ın paylaştığı; yapımcılığını eski Kültür Bakanı Fikri Sağlar'ın yönetmenliğini ise Çağatay Tosun (1. bölüm) ve Tevfik Şenol'un üstlendiği, 2006 yılında Kanal D'de yayımlanan polisiye türündeki Türk televizyon dizisidir.",1,10,Serap Artistik Yapım,4 Eylül 2006 - 13 Kasım 2006,,
"Köprü, Link",Ozan Yurdakul,Sadullah Şentürk  Çağatay Tosun,Erdal BeşikçioğluAyşegül Ünsalİpek Karapınar,Türkiye,Star TV,Sona erdi,"Köprü, yazar Ayşe Kulin tarafından kaleme alınan Köprü adlı romandan esinlenilerek çekilen ve 2006-2008 yılları arasında Star TV'de yayımlanan dram, macera ve politik türdeki Türk televizyon dizisidir. Erzincan Valiliği sırasında Vali Recep Yazıcıoğlu'nun yapılması için büyük emek harcadığı Başpınar Köprüsü'nün konu edildiği bir dizi filmdir. Yönetmenleri Kurtlar Vadisi Pusu dizisinin de yönetmeni olan Sadullah Şentürk ve Çağatay Tosun'dur. Dizi, 2 sezondan oluşmaktadır ve 65. bölümü ile final yaparak ekranlara veda etti.[2]",2,65,Ata Türkoğlu,4 Aralık 2006[1] - 23 Haziran 2008,,
"Pertev Bey'in Üç Kızı, Link",Zülküf Yücel,Tunç Başaran,Serdar GökhanDeniz EvrenolDeniz GökçerBaşak DaşmanDamla SönmezOrhan AydınItır Esen,Türkiye,TRT 1,Sona erdi,"Pertev Bey'in Üç Kızı, 2006 yılında TRT 1'de yayımlanan, Tunç Başaran'ın yönetmenliğini üstlendiği, Zülküf Yücel'in senaryosunu yazdığı ve Özkan Turgay'ın müziklerini bestelediği, Münevver Ayaşlı'nın aynı adlı eserinden televizyona uyarlanmış komedi türündeki Türk televizyon  dizisidir. Dizi, 6. bölümü ile ekranlara veda etti.",1,6,,2006 - 2006,,
"Sağır Oda, Link",Ahmet Saatçioğlu  Memed Onur Özkök  Hakan Karahan  Ayhan Bozkurt  Sinan Hıncal,Serdar Akar (1-6)Onur Tan (6-34),Orhan Kılıç  Çağla Kubat  Engin Cezzar  Mahir Günşiray  Arsen Gürzap,Türkiye,Kanal D,Sona erdi,"Sağır Oda, yönetmenliğini Serdar Akar'ın ve konsept danışmanlığını Soner Yalçın'ın yaptığı, istihbarat ve aksiyon türündeki Türk televizyon dizisidir. Dizi, 34. bölümü ile final yaparak sona erdi.",1,34,Timur Savcı  Cüneyt Özdemir,18 Eylül 2006 - 7 Haziran 2007,,
"Selena, Link",Gani Müjde Fatih Solmaz Emre Bülbül Nilüfer Yenidoğan Gökhan Karagülle,Bora Onur,Sinem Kobal Gökhan KeserCansu DemirciGizem GüvenDilara KurtulmuşSinan ÇalışkanoğluZuhal Topal,Türkiye,atv,Sona erdi,"Selena, Süreç Film imzalı, 10 Eylül 2006 tarihinde atv'de yayımlanmaya başlayan fantastik kurgu ve komedi türündeki Türk televizyon dizisidir.[1] Başrollerini Sinem Kobal, Cansu Demirci, Gizem Güven ve Dilara Kurtulmuş'un paylaştığı dizi izleyiciler tarafından beğeniyle izlenmiştir. 3 sezondan oluşan dizi, 18 Ağustos 2009 tarihinde yayımlanan 104. bölümü ile final yaparak sona ermiştir. 28 Kasım 2016 tarihinden itibaren a2 ekranlarında tekrar bölümleri yayınlanmaktadır. Geçen yıllara rağmen aldığı yüksek reytinglerle dikkat çeken Selena, Türkiye'nin en çok tekrarı yayımlanan televizyon dizilerinin başında gelmektedir.",3,104 (bölümleri listesi),Ali Gündoğduİnci Kırhan Gündoğdu,10 Eylül 2006 - 18 Ağustos 2009,,
"Sevda Çiçeği, Link",Özgür Evren Heptürk,Tevfik ŞenolKartal Çidamlı,Gökhan ÖzenYasemin Hadivent  Savaş DinçelHalit AkçatepeGül OnatEbru KaranfilciMeral KaplanPakize SudaErcü TuranSerdal GençEngin GünayBaşak Koçİbrahim GündoğanElif Burgaz,Türkiye,Show TV,Sona erdi,"Sevda Çiçeği, Süreç Film imzalı, başrollerini Gökhan Özen ve Yasemin Hadivent'in paylaştığı, 2006 yılında Show TV'de yayımlanmış olan romantik komedi türündeki Türk televizyon dizisidir. Dizi, 24. bölümü ile sona erdi.",1,24,İnci KırhanAli Gündoğdu,19 Haziran 2006 - 8 Aralık 2006,,Ali Otyam
"Sıla, Link",Muharrem Buhara,Yasin UsluGül Oğuz,Cansu DereMehmet Akif AlakurtZeynep EronatMenderes SamancılarDevrim SaltoğluFatoş TezFatoş SezerMuhammed CangörenCemal ToktaşBoncuk YılmazGökçe Yanardağ,Türkiye,atv,Sona erdi,"Sıla, Fm Yapım ve Most Production imzalı, 2006-2008 yılları arasında atv'de yayımlanan dram ve aksiyon türündeki Türk televizyon dizisidir. Başrollerini Cansu Dere ve Mehmet Akif Alakurt'un paylaştığı dizi, ilk çıktığı zamanlarda çok popüler olmuştur. Dizi müziği Sezen Aksu ve diziyle aynı adı taşıyan Sıla Gençoğlu'na ait. Sıla, ""Sıla/Töre"" adlı besteyi de kendisi seslendirmiştir. 3 sezondan oluşan dizi, 79. bölümü ile final yaparak sona erdi.",3,79 (bölümleri listesi),Nezihe Dikilitaş,15 Eylül 2006 - 19 Eylül 2008,,
"Yağmurdan Sonra, Link",,Cemile Kırmızı Karadaş (1-4)  U. Yağmur Yavuz (5-14)  Hüdaverdi Yavuz (15-19)  Naci Çelik Berksoy (20-39),Seçil Mutlu Yıldız Çağrı Atiksoy Ali Sürmeli Atilla Olgaç Kayra Şenocak Sefa Zengin,Türkiye,Samanyolu TV,Sona erdi,"Yağmurdan Sonra, 2006-2007 yılları arasında Samanyolu TV'de yayımlanan dram türündeki  Türk televizyon dizisidir. Dizi, 39. bölümü ile sona erdi.",1,39,Salih Asan  Melih Sezgin,21 Eylül 2006 (2006-09-21)[1] - 28 Haziran 2007 (2007-06-28),,Aria
"Yalancı Yarim, Link",Haluk Özenç  Betül Karabulut,Özer Kızıltan  Şengül Halat Atak,Barış Akarsu  Merve Sevi  Bülent Kayabaş  Ayşe Kökçü,Türkiye,Star TV,Yayından kaldırıldı,"Yalancı Yarim, FM Yapım imzalı, 2006-2007 yılları arasında Star TV'de yayımlanan aşk, romantik ve komedi türündeki Türk televizyon dizisidir. Başrol oyuncusu Barış Akarsu'nun hayatını kaybetmesiyle dizi yarıda kesilmiştir.",1,49,FM Yapım,21 Temmuz 2006 - 30 Haziran 2007,,
"Yaprak Dökümü, Link",Ece YörençMelek Gençoğlu,Mesude Erarslan,Halil Ergün  Güven Hokna  Bennu Yıldırımlar  Deniz Çakır  Tolga Karel  Caner Kurtaran  Hasan Küçükçetin  Gökçe Bahadır  Fahriye Evcen  Bedia EnerSeda Demir,Türkiye,Kanal D (HD) (2006-2010),Sona erdi,"Yaprak Dökümü, Ay Yapım imzalı, 2006-2010 yılları arasında Kanal D'de yayımlanan aile ve drama türündeki Türk televizyon dizisidir. Reşat Nuri Güntekin'in aynı adlı kitabından uyarlanmıştır. Toplam 5 sezondan oluşan dizi, 29 Aralık 2010 tarihinde yayımlanan 174. bölümü ile final yaparak sona erdi. Her sezon Kanal D ekranlarında yayımlanmasıyla popülaritesini koruyan ve çok izlenen Yaprak Dökümü, Türk televizyon tarihinin en çok tekrarı yayımlanan televizyon dizilerinden biridir.",5,174 (bölümleri listesi),Kerem Çatay,13 Eylül 2006 - 29 Aralık 2010,,Toygar Işıklı
"Yeşeren Düşler, Link",,Taner Tunç,Bilgehan Birincioğlu,Türkiye,Samanyolu TV,Sona erdi,"Yeşeren Düşler, 2006-2008 yılları arasında Samanyolu TV'de yayımlanan dram türündeki Türk televizyon dizisidir. 2 sezondan oluşan dizi, 66. bölümü ile final yaparak sona erdi.",2,66,Mustafa Kartal,10 Aralık 2006 (2006-12-10)[1][2][3] - 24 Haziran 2008 (2008-06-24)[4][5],,
"7 Numara, Link",Ayça MutlugilNuray UsluOya YüceVolkan Girgin,Haluk Bener  Sadullah Celen,Şebnem Sönmez Engin Alkan Tuba ErdemOkan SelviAyça MutlugilNuray UsluGülden GüneyVolkan Girgin,Türkiye,TRT 1,Sona erdi,"Yedi Numara, 9 Ekim 2000 ile 23 Haziran 2003 tarihleri arasında TRT 1'de yayımlanan gençlik ve komedi türündeki Türk televizyon dizisidir. Başrollerini; Şebnem Sönmez, Engin Alkan, Tuba Erdem, Okan Selvi, Ayça Mutlugil, Nuray Uslu, Gülden Güney ve Volkan Girgin paylaşmaktadır. Oya Yüce tarafından yaratılan dizi, İstanbul'da aynı üniversitede okuyan ve aileleri başka şehirde yaşayan dört kız arkadaş ve köyden gelen iki erkek kuzenin birlikte aynı evde ve çevresinde yaşadıkları olayları konu alır.[3]",3,92,Oya Yüce,23 Ekim 2000 (2000-10-23)[1] - 23 Haziran 2003 (2003-06-23)[2],,
